Year,Zone,Sex,Age Group,Population,Prevalence,Crude Prevalence Rate
2014,Zone 4 - Central,M,80 +,6810,451,6.62
2014,Zone 3 - Eastern,F,0 to 9,6897,393,5.7
2014,Zone 3 - Eastern,F,10 to 19,8509,1462,17.18
2014,Zone 3 - Eastern,F,20 to 29,9359,1659,17.73
2014,Zone 3 - Eastern,F,30 to 39,9486,1055,11.12
2014,Zone 3 - Eastern,F,40 to 49,11297,1117,9.89
2014,Zone 3 - Eastern,F,50 to 59,15101,1358,8.99
2014,Zone 3 - Eastern,F,60 to 69,13582,1341,9.87
2014,Zone 3 - Eastern,F,70 to 79,8249,801,9.71
2014,Zone 3 - Eastern,F,80 +,6120,427,6.98
2014,Zone 3 - Eastern,M,0 to 9,7219,652,9.03
2014,Zone 3 - Eastern,M,10 to 19,9021,2098,23.26
2014,Zone 3 - Eastern,M,20 to 29,9789,1966,20.08
2014,Zone 3 - Eastern,M,30 to 39,9471,795,8.39
2014,Zone 3 - Eastern,M,40 to 49,11208,646,5.76
2014,Zone 3 - Eastern,M,50 to 59,14415,770,5.34
2014,Zone 3 - Eastern,M,60 to 69,13541,700,5.17
2014,Zone 3 - Eastern,M,70 to 79,7471,457,6.12
2014,Zone 3 - Eastern,M,80 +,3599,221,6.14
2014,Zone 2 - Northern,F,0 to 9,6864,396,5.77
2014,Zone 2 - Northern,F,10 to 19,8126,1340,16.49
2014,Zone 2 - Northern,F,20 to 29,8885,1575,17.73
2014,Zone 2 - Northern,F,30 to 39,9360,1225,13.09
2014,Zone 2 - Northern,F,40 to 49,11366,1338,11.77
2014,Zone 2 - Northern,F,50 to 59,13409,1421,10.6
2014,Zone 2 - Northern,F,60 to 69,11612,1245,10.72
2014,Zone 2 - Northern,F,70 to 79,6696,667,9.96
2014,Zone 2 - Northern,F,80 +,5220,401,7.68
2014,Zone 2 - Northern,M,0 to 9,7181,575,8.01
2014,Zone 2 - Northern,M,10 to 19,8614,1940,22.52
2014,Zone 2 - Northern,M,20 to 29,9049,1765,19.5
2014,Zone 2 - Northern,M,30 to 39,9137,743,8.13
2014,Zone 2 - Northern,M,40 to 49,11015,651,5.91
2014,Zone 2 - Northern,M,50 to 59,13250,770,5.81
2014,Zone 2 - Northern,M,60 to 69,11311,583,5.15
2014,Zone 2 - Northern,M,70 to 79,6330,317,5.01
2014,Zone 2 - Northern,M,80 +,3172,179,5.64
2014,Zone 1 - Western,F,0 to 9,7885,481,6.1
2014,Zone 1 - Western,F,10 to 19,9811,1763,17.97
2014,Zone 1 - Western,F,20 to 29,10916,1952,17.88
2014,Zone 1 - Western,F,30 to 39,11466,1490,12.99
2014,Zone 1 - Western,F,40 to 49,14080,1615,11.47
2014,Zone 1 - Western,F,50 to 59,18844,2071,10.99
2014,Zone 1 - Western,F,60 to 69,16543,1868,11.29
2014,Zone 1 - Western,F,70 to 79,9846,977,9.92
2014,Zone 1 - Western,F,80 +,7519,603,8.02
2014,Zone 1 - Western,M,0 to 9,8251,667,8.08
2014,Zone 1 - Western,M,10 to 19,10402,2405,23.12
2014,Zone 1 - Western,M,20 to 29,10944,2197,20.07
2014,Zone 1 - Western,M,30 to 39,10778,898,8.33
2014,Zone 1 - Western,M,40 to 49,13609,902,6.63
2014,Zone 1 - Western,M,50 to 59,18093,1082,5.98
2014,Zone 1 - Western,M,60 to 69,16009,980,6.12
2014,Zone 1 - Western,M,70 to 79,9241,585,6.33
2014,Zone 1 - Western,M,80 +,4805,303,6.31
2015,Zone 4 - Central,F,0 to 9,19925,1039,5.21
2015,Zone 4 - Central,F,10 to 19,23370,3904,16.71
2015,Zone 4 - Central,F,20 to 29,33575,5837,17.38
2015,Zone 4 - Central,F,30 to 39,33677,4379,13
2015,Zone 4 - Central,F,40 to 49,34434,4318,12.54
2015,Zone 4 - Central,F,50 to 59,36721,4796,13.06
2015,Zone 4 - Central,F,60 to 69,28721,3836,13.36
2015,Zone 4 - Central,F,70 to 79,15939,2031,12.74
2015,Zone 4 - Central,F,80 +,11480,1067,9.29
2015,Zone 4 - Central,M,0 to 9,21029,1578,7.5
2015,Zone 4 - Central,M,10 to 19,24230,5359,22.12
2015,Zone 4 - Central,M,20 to 29,33078,6612,19.99
2015,Zone 4 - Central,M,30 to 39,31811,3125,9.82
2015,Zone 4 - Central,M,40 to 49,32196,2268,7.04
2015,Zone 4 - Central,M,50 to 59,35747,2500,6.99
2015,Zone 4 - Central,M,60 to 69,26517,1773,6.69
2015,Zone 4 - Central,M,70 to 79,14081,1010,7.17
2015,Zone 4 - Central,M,80 +,7021,475,6.77
2015,Zone 3 - Eastern,F,0 to 9,6761,388,5.74
2015,Zone 3 - Eastern,F,10 to 19,8406,1355,16.12
2015,Zone 3 - Eastern,F,20 to 29,9207,1734,18.83
2015,Zone 3 - Eastern,F,30 to 39,9408,1053,11.19
2015,Zone 3 - Eastern,F,40 to 49,11002,1108,10.07
2015,Zone 3 - Eastern,F,50 to 59,14912,1390,9.32
2015,Zone 3 - Eastern,F,60 to 69,13987,1415,10.12
2015,Zone 3 - Eastern,F,70 to 79,8490,831,9.79
2015,Zone 3 - Eastern,F,80 +,6105,437,7.16
2015,Zone 3 - Eastern,M,0 to 9,7141,595,8.33
2015,Zone 3 - Eastern,M,10 to 19,8884,1945,21.89
2015,Zone 3 - Eastern,M,20 to 29,9683,2101,21.7
2015,Zone 3 - Eastern,M,30 to 39,9440,865,9.16
2015,Zone 3 - Eastern,M,40 to 49,11043,677,6.13
2015,Zone 3 - Eastern,M,50 to 59,14157,767,5.42
2015,Zone 3 - Eastern,M,60 to 69,13836,751,5.43
2015,Zone 3 - Eastern,M,70 to 79,7696,454,5.9
2015,Zone 3 - Eastern,M,80 +,3692,233,6.31
2015,Zone 2 - Northern,F,0 to 9,6757,354,5.24
2015,Zone 2 - Northern,F,10 to 19,8027,1273,15.86
2015,Zone 2 - Northern,F,20 to 29,8848,1634,18.47
2015,Zone 2 - Northern,F,30 to 39,9291,1256,13.52
2015,Zone 2 - Northern,F,40 to 49,11058,1304,11.79
2015,Zone 2 - Northern,F,50 to 59,13380,1433,10.71
2015,Zone 2 - Northern,F,60 to 69,11899,1291,10.85
2015,Zone 2 - Northern,F,70 to 79,6934,720,10.38
2015,Zone 2 - Northern,F,80 +,5173,396,7.66
2015,Zone 2 - Northern,M,0 to 9,7116,527,7.41
2015,Zone 2 - Northern,M,10 to 19,8519,1812,21.27
2015,Zone 2 - Northern,M,20 to 29,8940,1863,20.84
2015,Zone 2 - Northern,M,30 to 39,9119,819,8.98
2015,Zone 2 - Northern,M,40 to 49,10797,661,6.12
2015,Zone 2 - Northern,M,50 to 59,13102,763,5.82
2015,Zone 2 - Northern,M,60 to 69,11632,619,5.32
2015,Zone 2 - Northern,M,70 to 79,6597,340,5.15
2015,Zone 2 - Northern,M,80 +,3247,177,5.45
2015,Zone 1 - Western,F,0 to 9,7885,444,5.63
2015,Zone 1 - Western,F,10 to 19,9685,1665,17.19
2015,Zone 1 - Western,F,20 to 29,10839,2030,18.73
2015,Zone 1 - Western,F,30 to 39,11450,1495,13.06
2015,Zone 1 - Western,F,40 to 49,13701,1612,11.77
2015,Zone 1 - Western,F,50 to 59,18749,2096,11.18
2015,Zone 1 - Western,F,60 to 69,16995,1945,11.44
2015,Zone 1 - Western,F,70 to 79,10275,1047,10.19
2015,Zone 1 - Western,F,80 +,7589,613,8.08
2015,Zone 1 - Western,M,0 to 9,8218,616,7.5
2015,Zone 1 - Western,M,10 to 19,10293,2263,21.99
2015,Zone 1 - Western,M,20 to 29,10935,2333,21.34
2015,Zone 1 - Western,M,30 to 39,10766,968,8.99
2015,Zone 1 - Western,M,40 to 49,13233,921,6.96
2015,Zone 1 - Western,M,50 to 59,18039,1107,6.14
2015,Zone 1 - Western,M,60 to 69,16419,999,6.08
2015,Zone 1 - Western,M,70 to 79,9622,606,6.3
2015,Zone 1 - Western,M,80 +,4968,313,6.3
2016,Zone 4 - Central,F,0 to 9,20236,999,4.94
2016,Zone 4 - Central,F,10 to 19,22968,3627,15.79
2016,Zone 4 - Central,F,20 to 29,33716,5848,17.34
2016,Zone 4 - Central,F,30 to 39,34474,4528,13.13
2016,Zone 4 - Central,F,40 to 49,34243,4337,12.67
2016,Zone 4 - Central,F,50 to 59,36870,4887,13.25
2016,Zone 4 - Central,F,60 to 69,29327,3923,13.38
2016,Zone 4 - Central,F,70 to 79,17159,2258,13.16
2016,Zone 4 - Central,F,80 +,11606,1099,9.47
2016,Zone 4 - Central,M,0 to 9,21323,1525,7.15
2016,Zone 4 - Central,M,10 to 19,23924,4999,20.9
2016,Zone 4 - Central,M,20 to 29,33375,6796,20.36
2016,Zone 4 - Central,M,30 to 39,32666,3411,10.44
2016,Zone 4 - Central,M,40 to 49,32284,2349,7.28
2016,Zone 4 - Central,M,50 to 59,35907,2517,7.01
2016,Zone 4 - Central,M,60 to 69,27155,1890,6.96
2016,Zone 4 - Central,M,70 to 79,15090,1079,7.15
2016,Zone 4 - Central,M,80 +,7298,502,6.88
2016,Zone 3 - Eastern,F,0 to 9,6725,369,5.49
2016,Zone 3 - Eastern,F,10 to 19,8300,1278,15.4
2016,Zone 3 - Eastern,F,20 to 29,9185,1764,19.21
2016,Zone 3 - Eastern,F,30 to 39,9470,1134,11.97
2016,Zone 3 - Eastern,F,40 to 49,10720,1087,10.14
2016,Zone 3 - Eastern,F,50 to 59,14589,1393,9.55
2016,Zone 3 - Eastern,F,60 to 69,14151,1438,10.16
2016,Zone 3 - Eastern,F,70 to 79,8909,885,9.93
2016,Zone 3 - Eastern,F,80 +,6201,460,7.42
2016,Zone 3 - Eastern,M,0 to 9,7133,543,7.61
2016,Zone 3 - Eastern,M,10 to 19,8757,1841,21.02
2016,Zone 3 - Eastern,M,20 to 29,9663,2216,22.93
2016,Zone 3 - Eastern,M,30 to 39,9522,946,9.93
2016,Zone 3 - Eastern,M,40 to 49,10748,686,6.38
2016,Zone 3 - Eastern,M,50 to 59,13921,772,5.55
2016,Zone 3 - Eastern,M,60 to 69,13924,753,5.41
2016,Zone 3 - Eastern,M,70 to 79,8168,494,6.05
2016,Zone 3 - Eastern,M,80 +,3811,237,6.22
2016,Zone 2 - Northern,F,0 to 9,6748,316,4.68
2016,Zone 2 - Northern,F,10 to 19,7989,1241,15.53
2016,Zone 2 - Northern,F,20 to 29,8872,1645,18.54
2016,Zone 2 - Northern,F,30 to 39,9214,1241,13.47
2016,Zone 2 - Northern,F,40 to 49,10954,1345,12.28
2016,Zone 2 - Northern,F,50 to 59,13324,1433,10.76
2016,Zone 2 - Northern,F,60 to 69,12009,1315,10.95
2016,Zone 2 - Northern,F,70 to 79,7328,800,10.92
2016,Zone 2 - Northern,F,80 +,5251,402,7.66
2016,Zone 2 - Northern,M,0 to 9,6961,494,7.1
2016,Zone 2 - Northern,M,10 to 19,8414,1700,20.2
2016,Zone 2 - Northern,M,20 to 29,9143,1972,21.57
2016,Zone 2 - Northern,M,30 to 39,9029,867,9.6
2016,Zone 2 - Northern,M,40 to 49,10718,687,6.41
2016,Zone 2 - Northern,M,50 to 59,12966,743,5.73
2016,Zone 2 - Northern,M,60 to 69,11772,657,5.58
2016,Zone 2 - Northern,M,70 to 79,7049,367,5.21
2016,Zone 2 - Northern,M,80 +,3349,179,5.34
2016,Zone 1 - Western,F,0 to 9,7905,394,4.98
2016,Zone 1 - Western,F,10 to 19,9645,1649,17.1
2016,Zone 1 - Western,F,20 to 29,10837,2065,19.06
2016,Zone 1 - Western,F,30 to 39,11480,1533,13.35
2016,Zone 1 - Western,F,40 to 49,13532,1615,11.93
2016,Zone 1 - Western,F,50 to 59,18521,2124,11.47
2016,Zone 1 - Western,F,60 to 69,17217,1954,11.35
2016,Zone 1 - Western,F,70 to 79,10990,1178,10.72
2016,Zone 1 - Western,F,80 +,7639,628,8.22
2016,Zone 1 - Western,M,0 to 9,8336,571,6.85
2016,Zone 1 - Western,M,10 to 19,10169,2143,21.07
2016,Zone 1 - Western,M,20 to 29,11014,2424,22.01
2016,Zone 1 - Western,M,30 to 39,10890,1067,9.8
2016,Zone 1 - Western,M,40 to 49,13029,949,7.28
2016,Zone 1 - Western,M,50 to 59,17844,1099,6.16
2016,Zone 1 - Western,M,60 to 69,16606,1022,6.15
2016,Zone 1 - Western,M,70 to 79,10279,682,6.63
2016,Zone 1 - Western,M,80 +,5168,316,6.11
2017,Zone 4 - Central,F,0 to 9,20293,974,4.8
2017,Zone 4 - Central,F,10 to 19,22923,3402,14.84
2017,Zone 4 - Central,F,20 to 29,33946,5861,17.27
2017,Zone 4 - Central,F,30 to 39,35493,4662,13.13
2017,Zone 4 - Central,F,40 to 49,34399,4440,12.91
2017,Zone 4 - Central,F,50 to 59,36922,4911,13.3
2017,Zone 4 - Central,F,60 to 69,29882,4038,13.51
2017,Zone 4 - Central,F,70 to 79,18463,2424,13.13
2017,Zone 4 - Central,F,80 +,11782,1174,9.96
2017,Zone 4 - Central,M,0 to 9,21392,1460,6.82
2017,Zone 4 - Central,M,10 to 19,23940,4718,19.71
2017,Zone 4 - Central,M,20 to 29,33594,6834,20.34
2017,Zone 4 - Central,M,30 to 39,33802,3749,11.09
2017,Zone 4 - Central,M,40 to 49,32595,2427,7.45
2017,Zone 4 - Central,M,50 to 59,35700,2542,7.12
2017,Zone 4 - Central,M,60 to 69,27894,1993,7.14
2017,Zone 4 - Central,M,70 to 79,16298,1183,7.26
2017,Zone 4 - Central,M,80 +,7549,508,6.73
2017,Zone 3 - Eastern,F,0 to 9,6712,327,4.87
2017,Zone 3 - Eastern,F,10 to 19,8218,1201,14.61
2017,Zone 3 - Eastern,F,20 to 29,9228,1806,19.57
2017,Zone 3 - Eastern,F,30 to 39,9470,1189,12.56
2017,Zone 3 - Eastern,F,40 to 49,10598,1118,10.55
2017,Zone 3 - Eastern,F,50 to 59,14161,1394,9.84
2017,Zone 3 - Eastern,F,60 to 69,14359,1452,10.11
2017,Zone 3 - Eastern,F,70 to 79,9446,965,10.22
2017,Zone 3 - Eastern,F,80 +,6264,496,7.92
2017,Zone 3 - Eastern,M,0 to 9,6992,502,7.18
2017,Zone 3 - Eastern,M,10 to 19,8749,1761,20.13
2017,Zone 3 - Eastern,M,20 to 29,9658,2277,23.58
2017,Zone 3 - Eastern,M,30 to 39,9615,1039,10.81
2017,Zone 3 - Eastern,M,40 to 49,10586,711,6.72
2017,Zone 3 - Eastern,M,50 to 59,13650,789,5.78
2017,Zone 3 - Eastern,M,60 to 69,13971,766,5.48
2017,Zone 3 - Eastern,M,70 to 79,8653,526,6.08
2017,Zone 3 - Eastern,M,80 +,3962,245,6.18
2017,Zone 2 - Northern,F,0 to 9,6616,293,4.43
2017,Zone 2 - Northern,F,10 to 19,8032,1182,14.72
2017,Zone 2 - Northern,F,20 to 29,8794,1662,18.9
2017,Zone 2 - Northern,F,30 to 39,9229,1271,13.77
2017,Zone 2 - Northern,F,40 to 49,10791,1361,12.61
2017,Zone 2 - Northern,F,50 to 59,13115,1445,11.02
2017,Zone 2 - Northern,F,60 to 69,12191,1340,10.99
2017,Zone 2 - Northern,F,70 to 79,7883,868,11.01
2017,Zone 2 - Northern,F,80 +,5249,412,7.85
2017,Zone 2 - Northern,M,0 to 9,6832,444,6.5
2017,Zone 2 - Northern,M,10 to 19,8415,1616,19.2
2017,Zone 2 - Northern,M,20 to 29,9164,2053,22.4
2017,Zone 2 - Northern,M,30 to 39,9034,953,10.55
2017,Zone 2 - Northern,M,40 to 49,10639,712,6.69
2017,Zone 2 - Northern,M,50 to 59,12754,735,5.76
2017,Zone 2 - Northern,M,60 to 69,11970,680,5.68
2017,Zone 2 - Northern,M,70 to 79,7408,387,5.22
2017,Zone 2 - Northern,M,80 +,3515,194,5.52
2017,Zone 1 - Western,F,0 to 9,7930,377,4.75
2017,Zone 1 - Western,F,10 to 19,9633,1558,16.17
2017,Zone 1 - Western,F,20 to 29,10880,2101,19.31
2017,Zone 1 - Western,F,30 to 39,11567,1574,13.61
2017,Zone 1 - Western,F,40 to 49,13378,1624,12.14
2017,Zone 1 - Western,F,50 to 59,18197,2140,11.76
2017,Zone 1 - Western,F,60 to 69,17531,1986,11.33
2017,Zone 1 - Western,F,70 to 79,11671,1286,11.02
2017,Zone 1 - Western,F,80 +,7752,645,8.32
2017,Zone 1 - Western,M,0 to 9,8294,513,6.19
2017,Zone 1 - Western,M,10 to 19,10103,2028,20.07
2017,Zone 1 - Western,M,20 to 29,11137,2517,22.6
2017,Zone 1 - Western,M,30 to 39,10975,1187,10.82
2017,Zone 1 - Western,M,40 to 49,12843,941,7.33
2017,Zone 1 - Western,M,50 to 59,17492,1132,6.47
2017,Zone 1 - Western,M,60 to 69,16904,1032,6.11
2017,Zone 1 - Western,M,70 to 79,10939,744,6.8
2017,Zone 1 - Western,M,80 +,5358,337,6.29
2018,Zone 4 - Central,F,0 to 9,20579,872,4.24
2018,Zone 4 - Central,F,10 to 19,23166,3217,13.89
2018,Zone 4 - Central,F,20 to 29,34103,5764,16.9
2018,Zone 4 - Central,F,30 to 39,36903,4913,13.31
2018,Zone 4 - Central,F,40 to 49,34906,4537,13
2018,Zone 4 - Central,F,50 to 59,36771,4908,13.35
2018,Zone 4 - Central,F,60 to 69,30841,4178,13.55
2018,Zone 4 - Central,F,70 to 79,19490,2627,13.48
2018,Zone 4 - Central,F,80 +,12018,1214,10.1
2018,Zone 4 - Central,M,0 to 9,21698,1382,6.37
2018,Zone 4 - Central,M,10 to 19,24225,4406,18.19
2018,Zone 4 - Central,M,20 to 29,33681,6910,20.52
2018,Zone 4 - Central,M,30 to 39,35397,4128,11.66
2018,Zone 4 - Central,M,40 to 49,33156,2505,7.56
2018,Zone 4 - Central,M,50 to 59,35773,2599,7.27
2018,Zone 4 - Central,M,60 to 69,28724,2090,7.28
2018,Zone 4 - Central,M,70 to 79,17217,1258,7.31
2018,Zone 4 - Central,M,80 +,7846,534,6.81
2018,Zone 3 - Eastern,F,0 to 9,6621,295,4.46
2018,Zone 3 - Eastern,F,10 to 19,8184,1150,14.05
2018,Zone 3 - Eastern,F,20 to 29,9326,1830,19.62
2018,Zone 3 - Eastern,F,30 to 39,9479,1236,13.04
2018,Zone 3 - Eastern,F,40 to 49,10524,1148,10.91
2018,Zone 3 - Eastern,F,50 to 59,13759,1396,10.15
2018,Zone 3 - Eastern,F,60 to 69,14533,1494,10.28
2018,Zone 3 - Eastern,F,70 to 79,9835,1038,10.55
2018,Zone 3 - Eastern,F,80 +,6351,504,7.94
2018,Zone 3 - Eastern,M,0 to 9,6891,447,6.49
2018,Zone 3 - Eastern,M,10 to 19,8730,1667,19.1
2018,Zone 3 - Eastern,M,20 to 29,9631,2325,24.14
2018,Zone 3 - Eastern,M,30 to 39,9673,1151,11.9
2018,Zone 3 - Eastern,M,40 to 49,10522,731,6.95
2018,Zone 3 - Eastern,M,50 to 59,13313,790,5.93
2018,Zone 3 - Eastern,M,60 to 69,14078,813,5.77
2018,Zone 3 - Eastern,M,70 to 79,9048,562,6.21
2018,Zone 3 - Eastern,M,80 +,4101,247,6.02
2018,Zone 2 - Northern,F,0 to 9,6472,273,4.22
2018,Zone 2 - Northern,F,10 to 19,8106,1088,13.42
2018,Zone 2 - Northern,F,20 to 29,8740,1692,19.36
2018,Zone 2 - Northern,F,30 to 39,9236,1280,13.86
2018,Zone 2 - Northern,F,40 to 49,10750,1377,12.81
2018,Zone 2 - Northern,F,50 to 59,12902,1475,11.43
2018,Zone 2 - Northern,F,60 to 69,12409,1377,11.1
2018,Zone 2 - Northern,F,70 to 79,8258,916,11.09
2018,Zone 2 - Northern,F,80 +,5345,424,7.93
2018,Zone 2 - Northern,M,0 to 9,6812,418,6.14
2018,Zone 2 - Northern,M,10 to 19,8368,1484,17.73
2018,Zone 2 - Northern,M,20 to 29,9231,2127,23.04
2018,Zone 2 - Northern,M,30 to 39,9108,1043,11.45
2018,Zone 2 - Northern,M,40 to 49,10488,712,6.79
2018,Zone 2 - Northern,M,50 to 59,12652,740,5.85
2018,Zone 2 - Northern,M,60 to 69,12099,717,5.93
2018,Zone 2 - Northern,M,70 to 79,7741,408,5.27
2018,Zone 2 - Northern,M,80 +,3640,197,5.41
2018,Zone 1 - Western,F,0 to 9,7914,351,4.44
2018,Zone 1 - Western,F,10 to 19,9595,1468,15.3
2018,Zone 1 - Western,F,20 to 29,10892,2148,19.72
2018,Zone 1 - Western,F,30 to 39,11717,1622,13.84
2018,Zone 1 - Western,F,40 to 49,13205,1643,12.44
2018,Zone 1 - Western,F,50 to 59,18005,2128,11.82
2018,Zone 1 - Western,F,60 to 69,17834,2042,11.45
2018,Zone 1 - Western,F,70 to 79,12252,1377,11.24
2018,Zone 1 - Western,F,80 +,7942,689,8.68
2018,Zone 1 - Western,M,0 to 9,8246,498,6.04
2018,Zone 1 - Western,M,10 to 19,10101,1933,19.14
2018,Zone 1 - Western,M,20 to 29,11223,2539,22.62
2018,Zone 1 - Western,M,30 to 39,11172,1317,11.79
2018,Zone 1 - Western,M,40 to 49,12655,929,7.34
2018,Zone 1 - Western,M,50 to 59,17230,1172,6.8
2018,Zone 1 - Western,M,60 to 69,17215,1051,6.11
2018,Zone 1 - Western,M,70 to 79,11580,800,6.91
2018,Zone 1 - Western,M,80 +,5521,353,6.39
2019,Zone 4 - Central,F,0 to 9,20883,842,4.03
2019,Zone 4 - Central,F,10 to 19,23402,2989,12.77
2019,Zone 4 - Central,F,20 to 29,34702,5667,16.33
2019,Zone 4 - Central,F,30 to 39,38455,5162,13.42
2019,Zone 4 - Central,F,40 to 49,35577,4675,13.14
2019,Zone 4 - Central,F,50 to 59,36853,4877,13.23
2019,Zone 4 - Central,F,60 to 69,31891,4372,13.71
2019,Zone 4 - Central,F,70 to 79,20457,2843,13.9
2019,Zone 4 - Central,F,80 +,12266,1275,10.39
2019,Zone 4 - Central,M,0 to 9,21890,1334,6.09
2019,Zone 4 - Central,M,10 to 19,24786,4188,16.9
2019,Zone 4 - Central,M,20 to 29,34554,6786,19.64
2019,Zone 4 - Central,M,30 to 39,37211,4575,12.29
2019,Zone 4 - Central,M,40 to 49,33861,2612,7.71
2019,Zone 4 - Central,M,50 to 59,35849,2645,7.38
2019,Zone 4 - Central,M,60 to 69,29654,2213,7.46
2019,Zone 4 - Central,M,70 to 79,18168,1350,7.43
2019,Zone 4 - Central,M,80 +,8179,587,7.18
2019,Zone 3 - Eastern,F,0 to 9,6480,298,4.6
2019,Zone 3 - Eastern,F,10 to 19,8190,1083,13.22
2019,Zone 3 - Eastern,F,20 to 29,9420,1835,19.48
2019,Zone 3 - Eastern,F,30 to 39,9627,1320,13.71
2019,Zone 3 - Eastern,F,40 to 49,10440,1170,11.21
2019,Zone 3 - Eastern,F,50 to 59,13548,1390,10.26
2019,Zone 3 - Eastern,F,60 to 69,14673,1510,10.29
2019,Zone 3 - Eastern,F,70 to 79,10175,1088,10.69
2019,Zone 3 - Eastern,F,80 +,6456,547,8.47
2019,Zone 3 - Eastern,M,0 to 9,6693,427,6.38
2019,Zone 3 - Eastern,M,10 to 19,8710,1564,17.96
2019,Zone 3 - Eastern,M,20 to 29,9866,2359,23.91
2019,Zone 3 - Eastern,M,30 to 39,9726,1264,13
2019,Zone 3 - Eastern,M,40 to 49,10484,765,7.3
2019,Zone 3 - Eastern,M,50 to 59,13074,796,6.09
2019,Zone 3 - Eastern,M,60 to 69,14172,821,5.79
2019,Zone 3 - Eastern,M,70 to 79,9507,581,6.11
2019,Zone 3 - Eastern,M,80 +,4259,264,6.2
2019,Zone 2 - Northern,F,0 to 9,6307,250,3.96
2019,Zone 2 - Northern,F,10 to 19,8161,1031,12.63
2019,Zone 2 - Northern,F,20 to 29,8738,1663,19.03
2019,Zone 2 - Northern,F,30 to 39,9323,1327,14.23
2019,Zone 2 - Northern,F,40 to 49,10668,1376,12.9
2019,Zone 2 - Northern,F,50 to 59,12790,1479,11.56
2019,Zone 2 - Northern,F,60 to 69,12651,1411,11.15
2019,Zone 2 - Northern,F,70 to 79,8655,972,11.23
2019,Zone 2 - Northern,F,80 +,5435,470,8.65
2019,Zone 2 - Northern,M,0 to 9,6723,389,5.79
2019,Zone 2 - Northern,M,10 to 19,8427,1380,16.38
2019,Zone 2 - Northern,M,20 to 29,9259,2137,23.08
2019,Zone 2 - Northern,M,30 to 39,9281,1160,12.5
2019,Zone 2 - Northern,M,40 to 49,10393,725,6.98
2019,Zone 2 - Northern,M,50 to 59,12495,741,5.93
2019,Zone 2 - Northern,M,60 to 69,12314,730,5.93
2019,Zone 2 - Northern,M,70 to 79,8149,454,5.57
2019,Zone 2 - Northern,M,80 +,3692,197,5.34
2019,Zone 1 - Western,F,0 to 9,7803,345,4.42
2019,Zone 1 - Western,F,10 to 19,9575,1374,14.35
2019,Zone 1 - Western,F,20 to 29,10909,2124,19.47
2019,Zone 1 - Western,F,30 to 39,11893,1715,14.42
2019,Zone 1 - Western,F,40 to 49,13157,1690,12.84
2019,Zone 1 - Western,F,50 to 59,17655,2119,12
2019,Zone 1 - Western,F,60 to 69,18268,2087,11.42
2019,Zone 1 - Western,F,70 to 79,12908,1515,11.74
2019,Zone 1 - Western,F,80 +,8057,716,8.89
2019,Zone 1 - Western,M,0 to 9,8217,451,5.49
2019,Zone 1 - Western,M,10 to 19,10081,1821,18.06
2019,Zone 1 - Western,M,20 to 29,11280,2546,22.57
2019,Zone 1 - Western,M,30 to 39,11411,1491,13.07
2019,Zone 1 - Western,M,40 to 49,12605,922,7.31
2019,Zone 1 - Western,M,50 to 59,16902,1174,6.95
2019,Zone 1 - Western,M,60 to 69,17492,1094,6.25
2019,Zone 1 - Western,M,70 to 79,12241,857,7
2019,Zone 1 - Western,M,80 +,5687,365,6.42
2020,Zone 4 - Central,F,0 to 9,20788,771,3.71
2020,Zone 4 - Central,F,10 to 19,23943,2829,11.82
2020,Zone 4 - Central,F,20 to 29,35630,5516,15.48
2020,Zone 4 - Central,F,30 to 39,39730,5439,13.69
2020,Zone 4 - Central,F,40 to 49,36042,4724,13.11
2020,Zone 4 - Central,F,50 to 59,37076,4966,13.39
2020,Zone 4 - Central,F,60 to 69,32904,4534,13.78
2020,Zone 4 - Central,F,70 to 79,21511,3016,14.02
2020,Zone 4 - Central,F,80 +,12514,1341,10.72
2020,Zone 4 - Central,M,0 to 9,21795,1206,5.53
2020,Zone 4 - Central,M,10 to 19,25296,3954,15.63
2020,Zone 4 - Central,M,20 to 29,36172,6641,18.36
2020,Zone 4 - Central,M,30 to 39,38460,5042,13.11
2020,Zone 4 - Central,M,40 to 49,34419,2716,7.89
2020,Zone 4 - Central,M,50 to 59,35865,2727,7.6
2020,Zone 4 - Central,M,60 to 69,30678,2272,7.41
2020,Zone 4 - Central,M,70 to 79,19122,1475,7.71
2020,Zone 4 - Central,M,80 +,8529,612,7.18
2020,Zone 3 - Eastern,F,0 to 9,6434,268,4.17
2020,Zone 3 - Eastern,F,10 to 19,8190,1018,12.43
2020,Zone 3 - Eastern,F,20 to 29,9885,1822,18.43
2020,Zone 3 - Eastern,F,30 to 39,9823,1402,14.27
2020,Zone 3 - Eastern,F,40 to 49,10469,1238,11.83
2020,Zone 3 - Eastern,F,50 to 59,13150,1357,10.32
2020,Zone 3 - Eastern,F,60 to 69,14921,1536,10.29
2020,Zone 3 - Eastern,F,70 to 79,10558,1152,10.91
2020,Zone 3 - Eastern,F,80 +,6606,570,8.63
2020,Zone 3 - Eastern,M,0 to 9,6639,402,6.06
2020,Zone 3 - Eastern,M,10 to 19,8692,1441,16.58
2020,Zone 3 - Eastern,M,20 to 29,10554,2358,22.34
2020,Zone 3 - Eastern,M,30 to 39,10125,1450,14.32
2020,Zone 3 - Eastern,M,40 to 49,10364,774,7.47
2020,Zone 3 - Eastern,M,50 to 59,12820,783,6.11
